username,profile_url,content_type,followers_count,location,bio_summary,post_frequency,engagement_rate,verified
dailyarian24,https://www.instagram.com/dailyarian24/,Daily Life/Culture,10+,Japan,Living in Japan as a foreigner sharing experiences,Regular,Medium,No
gaijinpot,https://www.instagram.com/gaijinpot/,Job/Life Information,2300+,Japan,Information platform for foreigners in Japan,High,High,Yes
bordersless,https://www.instagram.com/bordersless/,Culture/Experience,310+,Japan,Sharing diverse experiences of foreigners in Japan,Medium,High,No
mobilemally,https://www.instagram.com/mobilemally/,Personal Life/Experience,170+,Japan,7+ months living in Japan sharing daily experiences,Regular,Medium,No
thatpartsenpai,https://www.instagram.com/thatpartsenpai/,Travel/Culture,N/A,Japan,Solo traveling and living experiences in Japan,Regular,Medium,No
joinnihon,https://www.instagram.com/joinnihon/,Personal Story/Culture,120+,Japan,Sharing journey and experiences of moving to Japan,Regular,Medium,No
deowjapan,https://www.instagram.com/deowjapan/,Work/Study Life,40+,Japan,Information about working and studying in Japan,Regular,Low,No
yoyojapan10,https://www.instagram.com/yoyojapan10/,Life Changes/Culture,380+,Japan,Documenting personal changes and experiences in Japan,High,High,No
anton.injapan,https://www.instagram.com/anton.injapan/,Vlog/Festival/Culture,1800+,Japan,Sharing Japanese festival experiences and daily life,High,High,No
pigglesdigaijin,https://www.instagram.com/pigglesdigaijin/,Teaching/Life Experience,20+,Japan,English teaching and life experiences in Japan,Regular,Low,No
auclizy,https://www.instagram.com/auclizy/,Daily Life/Shopping,160+,Japan,Sharing grocery shopping and daily life in Japan,Regular,Medium,No
theblackexjp,https://www.instagram.com/theblackexjp/,Long-term Experience,400+,Japan,13 years of living experience in Japan,Regular,High,No
